Symbol	Description
02186.HK	Luye Pharma Group Ltd
02188.HK	
02193.HK	KBC Fin Products Int'l Ltd. - ICBC European Wts Jul 2007 G
02196.HK	Shanghai Fosun
02198.HK	SGA Societe Generale Acceptance N.V. - Ch Tel Eur Wt Oct 06
02199.HK	Regina Miracle International
02200.HK	Hosa International
02202.HK	China Vanke Co Limited
02203.HK	Top Dynamic International
02208.HK	Macquarie Bank Ltd. - HSBC European Warrants Mar 2007 B
02211.HK	Jintian Pharm
02212.HK	Future Bright Mining Holdings Limited
02213.HK	
02218.HK	Credit Suisse-sinopec Corp Ec0111
02221.HK	New Concepts Holdings Limited
02222.HK	NVC Lighting Holding Ltd
02223.HK	Macquarie Bank Ltd. - Foxconn European Warrants Jun 2007
02225.HK	Kakiko Group Limited
02226.HK	
02227.HK	
02228.HK	Credit Suisse-new World Dev Ec0112
02229.HK	Deutsche Bank AG - BankComm European Warrants Jul 2007 B
02232.HK	Credit Suisse-new World Dev Ep0111
02233.HK	West China Cement Ltd
02236.HK	Wison Engineering Services
02238.HK	Guangzhou Automobile
02239.HK	
02255.HK	SGA Societe Generale Acceptance N.V. - HSI Eu Put Wt Mar 07D
02266.HK	Lis Enterprise
02268.HK	
02269.HK	
02277.HK	Macquarie Bank Ltd-hutchison Ec0110
02278.HK	KBC Fin Products Int'l Ltd. - HSI Euro Put Wts Mar 2007 F
02280.HK	HC International
02281.HK	Goldman Sachs SP (Asia) - Hutchison European Wts Oct 2006
02282.HK	MGM China Holdings Ltd
02283.HK	Macquarie Bank Ltd. - HKEx European Put Warrants May 2007
02286.HK	
02288.HK	SGA Societe Generale Acceptance N.V. - Ping An Eur Wt Apr 07
02289.HK	
02293.HK	
02298.HK	Cosmo Lady (China) Holdings
02299.HK	Billion Industrial Holdings Lim
02300.HK	AMVIG Holdings
02302.HK	United Metals Holdings Ltd
02303.HK	
02307.HK	Kam Hing International Holdings Ltd
02308.HK	
02309.HK	Birmingham International Holdings
02310.HK	Kwang Sung Electronics H.K. Co. Ltd
02312.HK	China Finance Leasing
02313.HK	Shenzhou International Group Holdings Ltd
02314.HK	Lee & Man Paper Manufacturing Ltd
02317.HK	Vedan International (Holdings) Ltd
02318.HK	Ping An Insurance (Group) Co. of China Ltd
02319.HK	Mengniu Dairy
02320.HK	Hop Fung Group Holdings Ltd
02322.HK	Sam Woo Holdings Ltd
02323.HK	Topsearch International Holdings Ltd
02324.HK	Sino Katalytics Investment Corporation
02326.HK	BEP International Holdings Ltd
02327.HK	Jiwa Bio-Pharm Holdings Ltd
02328.HK	PICC Property and Casualty Co. Ltd
02329.HK	
02330.HK	Quaypoint Corporation
02331.HK	Li Ning Co. Ltd
02333.HK	Great Wall Motor Co. Ltd
02336.HK	Sunlink International Holdings Ltd
02337.HK	United Strength Power Holdings
02338.HK	Weichai Power Co. Ltd
02339.HK	Norstar Founders Group Ltd
02340.HK	Synergis Holdings Ltd
02341.HK	EcoGreen Fine Chemicals Group Ltd
02342.HK	Comba Telecom Systems Holdings Ltd
02343.HK	Pacific Basin Shipping Ltd
02345.HK	Shanghai Prime Machinery Co. Ltd
02348.HK	Dawnrays Pharmaceutical (Holdings) Ltd
02349.HK	Wah Yuen Holdings Ltd
02355.HK	Baoye Group Co. Ltd
02356.HK	Dah Sing Banking Group Ltd
02357.HK	AviChina Industry & Technology Co. Ltd
02358.HK	Mitsumaru East Kit (Holdings) Ltd
02362.HK	Signal Media and Communications Holdings Ltd
02366.HK	SMI Culture Group Holdings Ltd
02368.HK	Eagle Nice (International) Holdings Ltd
02369.HK	China Wireless Technologies Ltd
02371.HK	ZZNode Technologies Co. Ltd
02378.HK	
02379.HK	Zhongtian International Ltd
02380.HK	China Power International Development Ltd
02382.HK	Sunny Optical Technology (Group) Ltd
02383.HK	TOM Group Ltd
02386.HK	
02388.HK	BOC Hong Kong (Holdings) Ltd
02389.HK	Wang Sing International Holdings Group Ltd
02393.HK	Yestar International
02398.HK	Good Friend International Holdings Inc.
02399.HK	
02468.HK	Goldman Sachs SP (Asia) - N225 Index Euro Wts Mar 2007
02488.HK	
02588.HK	
02600.HK	Aluminum Corporation of China Ltd
02601.HK	China Pacific Insurance (Group) Co Ltd
02607.HK	
02608.HK	
02611.HK	
02623.HK	
02628.HK	China Life Insurance Co. Ltd
02633.HK	Nam Tai Electronic & Electrical Products Ltd
02638.HK	
02662.HK	Fittec International Group Ltd
02663.HK	
02666.HK	Universal Medical Financial
02668.HK	Pak Tak International Ltd
02669.HK	China Overseas Property Holdings
02678.HK	Texhong Textile Group Ltd
02686.HK	Chen Xing
02688.HK	XinAo Gas Holdings Ltd
02689.HK	Nine Dragons Paper (Holdings) Ltd
02698.HK	Weiqiao Textile Co. Ltd
02699.HK	
02700.HK	Smart Union Group (Holdings) Ltd
02708.HK	
02722.HK	Chongqing Machinery & Electric Ltd
02727.HK	Shanghai Electric Group Co. Ltd
02728.HK	Shinhint Acoustic Link Holdings Ltd
02738.HK	
02768.HK	
02777.HK	Guangzhou R&F Properties Co. Ltd
02778.HK	Champion Real Estate Investment Trust
02788.HK	Yorkey Optical International (Cayman) Ltd
02789.HK	
02799.HK	
02800.HK	Tracker Fund of Hong Kong
02801.HK	Chang Hwa Commerciai Bank
02802.HK	iShares EM Asia
02803.HK	Lyxoretf Rafius
02805.HK	
02808.HK	
02811.HK	
02819.HK	ABF Hong Kong Bond Index Fund
02821.HK	ABF Pan Asia Bond Index
02822.HK	CSOP A50 ETF
02823.HK	iShares FTSE A50 China Index ETF
02824.HK	
02825.HK	
02827.HK	Wise CSI200 EFT
02828.HK	Hang Seng H-Share Index ETF
02832.HK	
02833.HK	Hang Seng Index ETF
02834.HK	
02835.HK	
02836.HK	iShares BSE SENSEX India Index
02838.HK	Hang Seng FTSE China 25 Index
02840.HK	SPDR GOLD TRUST
02843.HK	
02846.HK	iShares CSI 300 A-Share Index
02847.HK	
02848.HK	
02858.HK	
02863.HK	Golden Faith Group Holdings
02866.HK	China Shipping Container Lines
02868.HK	Beijing Capital Land Ltd
02869.HK	
02877.HK	China Shineway Pharmaceutical Group Ltd
02878.HK	Solomon Systech (International) Ltd
02880.HK	Dalian Port (PDA) Co. Ltd
02882.HK	Ocean Grand Chemicals Holdings Ltd
02883.HK	China Oilfield Services Ltd
02886.HK	
02888.HK	Standard Chartered PLC
02889.HK	China Special Steel Holdings Co. Ltd
02898.HK	Long Far Pharmaceutical Holdings Ltd
02899.HK	Zijin Mining Group Co. Ltd
02906.HK	
02912.HK	
02914.HK	
02915.HK	
02918.HK	
03007.HK	X DBFXIC25
03008.HK	
03010.HK	
03012.HK	
03015.HK	X DBSPCNXNIFTY
03016.HK	
03019.HK	
03020.HK	
03021.HK	
03024.HK	
03027.HK	
03036.HK	
03040.HK	
03041.HK	
03043.HK	X DBMSCIPACEXJ
03046.HK	VALUE CHINA ETF
03048.HK	X DBMSCIBRAZIL
03049.HK	X DBMSCIBRAZIL
03055.HK	
03056.HK	
03060.HK	
03065.HK	
03070.HK	Ping An of China CSI HK Dividend ETF
03073.HK	
03074.HK	
03080.HK	
03081.HK	VALUE GOLD ETF
03082.HK	
03084.HK	Value Japan ETF
03085.HK	
03086.HK	
03087.HK	X DBFTSEVIET
03092.HK	
03095.HK	
03097.HK	
03099.HK	
03100.HK	
03101.HK	Vanguard FTSE Developed Europe ETF
03102.HK	
03107.HK	
03110.HK	
03115.HK	
03116.HK	
03118.HK	
03120.HK	
03121.HK	
03122.HK	
03126.HK	
03127.HK	
03128.HK	
03129.HK	
03132.HK	
03135.HK	
03136.HK	
03137.HK	
03140.HK	
03141.HK	
03143.HK	
03145.HK	
03146.HK	
03147.HK	CSOP Chinext
03149.HK	
03150.HK	
03155.HK	
03156.HK	
03157.HK	
03160.HK	
03161.HK	
03162.HK	
03165.HK	
03167.HK	
03170.HK	
03171.HK	
03173.HK	
03175.HK	
03177.HK	
03180.HK	
03188.HK	CAM CSI300
03199.HK	
03300.HK	China Glass Holdings Ltd
03301.HK	
03303.HK	Jutal Offshore Oil Services Ltd
03306.HK	
03308.HK	Golden Eagle Retail Group Ltd
03311.HK	China State Construction International Holdings Ltd
03313.HK	Meadville Holdings
03315.HK	Goldpac Group
03318.HK	China Flavors and Fragrances Co. Ltd
03320.HK	
03322.HK	Win Hanverky Holdings Ltd
03323.HK	China National Building Material Co. Ltd
03326.HK	Perfect Group International Holdings
03328.HK	Bank of Communications Co. Ltd
03329.HK	
03330.HK	Lingbao Gold Co. Ltd
03331.HK	Vinda International Holdings Ltd
03332.HK	
03333.HK	Evergrande
03335.HK	DBA Telecommunication (Asia) Holdings Ltd
03336.HK	Ju Teng International Holdings Ltd
03337.HK	Anton Oilfield Services Group
03339.HK	Lonking
03344.HK	Addchance Holdings Ltd
03355.HK	Advanced Semiconductor Manufacturing Corporation Ltd -H Shs
03358.HK	
03360.HK	
03363.HK	
03366.HK	Huali Holdings (Group) Ltd
03368.HK	Parkson Retail Group Ltd
03369.HK	
03377.HK	Sino-Ocean Land Holdings
03378.HK	Xiamen International Port Co. Ltd
03380.HK	
03382.HK	Tianjin Port Development Holdings Ltd
03383.HK	Agile Property Holdings Ltd
03389.HK	Hengdeli Holding
03393.HK	Wasion Meters Group Ltd
03395.HK	
03396.HK	
03398.HK	China Ting Group Holdings Ltd
03399.HK	Guangdong Nan Yue Logistics Co. Ltd
03600.HK	Modern Dental Group Limited
03606.HK	
03608.HK	
03618.HK	Chongqing Rural Commerical Bank Ltd
03623.HK	
03626.HK	
03628.HK	KBC Fin Products Int'l Ltd - Ping An European Wts Oct 2006
03633.HK	Macquarie Bank Ltd - HKEx European Warrants Oct 2006 A
03636.HK	KBC Fin Products Int'l Ltd - Ch Life Euro Put Wts Oct 2006
03638.HK	Deutsche Bank AG - China Mobile European Warrants Oct 2006 A
03639.HK	Deutsche Bank AG - Nikkei 225 Index European Wts Mar 2007 A
03663.HK	Xiezhong International
03666.HK	Macquarie Bank Ltd - HSI European Put Warrants Oct 2006 B
03669.HK	China Yongda Automobiles
03678.HK	Holly Futures Co
03683.HK	CC Rabobank B.A. - Hutchison European Warrants Apr 2007
03686.HK	Cliffordml
03688.HK	
03689.HK	KBC Fin Products Int'l Ltd - HSBC European Put Wts Oct 2006
03698.HK	Deutsche Bank AG - HSI European Warrants Oct 2006 C
03708.HK	Yat Sing Holdings Limited
03709.HK	
03728.HK	
03737.HK	
03738.HK	
03768.HK	
03773.HK	NNK Group Limited
03777.HK	
03778.HK	
03788.HK	
03789.HK	Royal Deluxe
03799.HK	Dali Foods Group Company
03800.HK	GCL-Poly Energy
03808.HK	Sinotruk (Hong Kong) Ltd
03813.HK	ABN AMRO Bank N.V. - Sinopec Corp European Wts Nov 2006 C
03816.HK	KFM Kingdom Holdings
03818.HK	China Dongxiang (Group) Ltd
03822.HK	Sam Woo Cons
03823.HK	Macquarie Bank Ltd - HSI European Warrants Nov 2006
03828.HK	Macquarie Bank Ltd - Denway European Warrants Nov 2006
03830.HK	Macquarie Bank Ltd - JX Copper European Warrants Jul 2007
03833.HK	SGA Societe Generale Acceptance N.V. - PetCh Eu Wt Nov 06 A
03836.HK	
03838.HK	HK Bank - Jiangxi Copper European Warrants Jan 2007
03839.HK	Chia Tai Enterprises International
03848.HK	
03866.HK	
03869.HK	
03878.HK	
03882.HK	Skylight Holdings
03883.HK	KBC Fin Products Int'l Ltd - HSBC European Wts Dec 2006 C
03886.HK	Macquarie Bank Ltd - Ch Life European Warrants Dec 2007 B
03888.HK	Kingsoft
03889.HK	KBC Fin Products Int'l Ltd - Ch Life Euro Wts Nov 2006 A
03893.HK	
03898.HK	Zhuzhou CSR Times Electric Ltd
03899.HK	Enric Energy Equipment Holdings Ltd
03900.HK	Greentown China Holdings Ltd
03903.HK	Hanhua Financial Holding
03908.HK	China International Capital Corporation
03918.HK	Nagacorp Ltd
03919.HK	
03933.HK	The United Laboratories International Holdings Ltd
03939.HK	Wanguo International Mining
03948.HK	Inner Mongolia Coal
03958.HK	
03963.HK	China Rongzhong Financial Holdings
03966.HK	
03968.HK	China Merchants Bank Co
03969.HK	
03983.HK	China Bluechemical Ltd
03988.HK	Bank of China Ltd
03989.HK	Hembly International Holdings Ltd
03993.HK	China Molybdenum Ltd
03996.HK	China Energy Engineering Corporation
03998.HK	Bosideng International Holdings Ltd
03999.HK	DaChan Food (Asia) Ltd
04228.HK	
04231.HK	
06030.HK	
06033.HK	
06038.HK	
06060.HK	ZhongAn Online P & C Insurance
06066.HK	
06068.HK	
06080.HK	Wing Chi Holdings
06083.HK	
06088.HK	Foxconn Interconnect Technology Limited
06090.HK	
06099.HK	
06108.HK	New Ray Medic
06113.HK	
06116.HK	Shanghai La Chapelle Fashion
06118.HK	
06122.HK	
06123.HK	
06128.HK	Earthasia International Holdings Limited
06133.HK	
06136.HK	
06138.HK	
06139.HK	
06161.HK	Target Insurance Limited
06163.HK	Gemilang International
06166.HK	
06168.HK	
06169.HK	China YuHua Education Corp
06178.HK	
06183.HK	
06188.HK	Beijing Digital Telecom Co Ltd
06189.HK	
06196.HK	
06198.HK	
06288.HK	
06388.HK	
06808.HK	Sun Art Retail Group Ltd
06816.HK	
06818.HK	
06822.HK	Kings Flair
06823.HK	
06826.HK	
06828.HK	
06830.HK	
06833.HK	Sinco Pharmaceuticals Holdings
06836.HK	
06837.HK	
06838.HK	
06839.HK	
06858.HK	
06863.HK	Huishan Dairy
06865.HK	Flat Glass
06866.HK	Zuoli Kechuang Micro-finance
06868.HK	
06869.HK	
06877.HK	
06878.HK	Differ Group Holding
06880.HK	
06881.HK	
06882.HK	
06885.HK	
06886.HK	
06888.HK	
06889.HK	Dynam Japan Holdings
06893.HK	
06896.HK	
06898.HK	
06899.HK	Ourgame International Holdings Limited
07200.HK	CSOP Hang Seng Dly
07202.HK	
07205.HK	
07210.HK	
07221.HK	
07222.HK	
07225.HK	
07228.HK	Samsung HSCEI Dly
07230.HK	
07231.HK	
07242.HK	
07261.HK	
07267.HK	
07288.HK	CSOP Hang Seng CHN Enp Idx Dly
07300.HK	CSOP Hang Seng Dly
07302.HK	
07312.HK	
07315.HK	
07321.HK	
07322.HK	
07328.HK	
07331.HK	
07335.HK	
07336.HK	
07341.HK	
07362.HK	
07388.HK	
09010.HK	
09074.HK	
09081.HK	
09115.HK	
09146.HK	
09155.HK	
09170.HK	
09834.HK	
09836.HK	
09846.HK	
09847.HK	
