Symbol	Description
00162.HK	China Golden Development Holdings Ltd
00163.HK	Emperor International Holdings Ltd
00164.HK	Premium Land Ltd
00165.HK	China Everbright Ltd
00166.HK	New Times Group Holdings Ltd
00167.HK	IDT International Ltd
00168.HK	Tsingtao Brewery Co. Ltd
00169.HK	China Fair Land Holdings Ltd
00171.HK	Silver Grant International Industries Ltd
00172.HK	Goldbond Group Holdings Ltd
00173.HK	K. Wah International Holdings Ltd
00174.HK	Kee Shing (Holdings) Ltd
00175.HK	Geely Automobile Holdings Ltd
00176.HK	United Pacific Industries Ltd
00177.HK	Jiangsu Expressway Co. Ltd
00178.HK	Sa Sa International Holdings Ltd
00179.HK	Johnson Electric Holdings Ltd
00180.HK	Kader Holdings Co. Ltd
00181.HK	Fujian Holdings Ltd
00182.HK	China WindPower Group Ltd
00183.HK	CITIC International Financial Holdings Ltd
00184.HK	Keck Seng Investments (Hong Kong) Ltd
00185.HK	China Credit Holdings Ltd
00186.HK	Grande Holdings Ltd
00187.HK	Beiren Printing Machinery Holdings Ltd
00188.HK	SW Kingsway Capital Holdings Ltd
00189.HK	Dongyue Group Ltd
00190.HK	Hong Kong Construction (Holdings) Ltd
00191.HK	Lai Sun Garment (International) Ltd
00193.HK	Capital Estate Ltd
00194.HK	Liu Chong Hing Investment Ltd
00195.HK	Grand Hotel Holdings A
00196.HK	Honghua Group Ltd
00197.HK	Heng Tai Consumables Group Ltd
00198.HK	SMI Corporation Ltd
00199.HK	Macau Prime Properties Holdings Ltd
00200.HK	Melco International Development Ltd
00201.HK	Magnificent Estates Ltd
00202.HK	Interchina Holdings Co. Ltd
00204.HK	China Investment Development
00205.HK	SEEC Media Group Ltd
00206.HK	ITC Corporation Ltd - Preference
00207.HK	Hong Kong Parkview Group Ltd
00208.HK	Polytec Asset Holdings Ltd
00209.HK	Winshine Entertainment & Media
00210.HK	Daphne International
00211.HK	Styland Holdings
00212.HK	Nanyang Holdings Ltd
00213.HK	National Electronics Holdings Ltd
00214.HK	Asia Orient Holdings Ltd
00215.HK	Hutchison Telecommunications
00216.HK	Chinney Investments Ltd
00217.HK	China Chengtong Development Group Ltd
00218.HK	Shenyin Wanguo (H.K.) Ltd
00219.HK	Shun Ho Technology Holdings Ltd
00220.HK	Uni-President China Holdings Ltd
00221.HK	LeRoi Holdings Ltd
00222.HK	Min Xin Holdings Ltd
00223.HK	Kenfair International (Holdings) Ltd
00224.HK	Pioneer Global Group Ltd
00225.HK	Pokfulam Development Co. Ltd
00226.HK	Lippo Ltd
00227.HK	First Shanghai Investments Ltd
00228.HK	Hon Po Group (Lobster King) Ltd
00229.HK	Raymond Industrial Ltd
